kode_produk,nama_produk,harga_rupiah,stok,kategori,last_updated
"PRD01583","Sweater Rajut",157000,"63","pakaian","2024-01-01 00:00:00"
"PRD01542","Baju Anak Laki-laki",348000,"115","pakaian","2024-05-07 00:00:00"
"PRD01501","Baju Anak Perempuan",145000,"86","pakaian","2023-11-08 00:00:00"
"PRD01817","Kemeja Sekolah",0,"287","pakaian","2023-12-10 00:00:00"
"PRD01584","Celana Jeans Pria",143000,"152","pakaian","2025-04-19 00:00:00"
"PRD01543","Piyama Anak",0,"81","pakaian","2026-04-21 00:00:00"
"PRD01502","Sweater Rajut",0,"263","pakaian","2025-11-07 13:49:00"
"PRD01818","Topi Sekolah",0,"88","pakaian","2026-02-10 00:00:00"
"PRD01585","Rok Anak",444000,"216","pakaian","2024-09-14 05:08:00"
"PRD01544","Dress Pesta",96000,"76","pakaian","2023-05-07 00:00:00"
"PRD01503","Kaos Olahraga",282000,"272","pakaian","2025-12-20 10:55:00"
"PRD01270","Baju Bayi",393000,"68","pakaian","2025-05-06 19:51:00"
"PRD01819","Dress Pesta",0,"49","pakaian","2025-10-03 11:24:00"
"PRD01586","Kaos Olahraga",485000,"266","pakaian","2024-04-15 09:37:00"
"PRD01545","Kaos Olahraga",0,"145","pakaian","2025-05-19 00:00:00"
"PRD01504","Jaket Hoodie",186000,"117","pakaian","2023-12-07 00:00:00"
"PRD01271","Baju Anak Perempuan",25000,"10","pakaian","2024-12-12 00:00:00"
"PRD01230","Sepatu Casual",289000,"50","pakaian","2024-03-15 00:00:00"
"PRD01587","Baju Anak Perempuan",95000,"118","pakaian","2024-12-03 02:24:00"
"PRD01546","Kaos Olahraga",259000,"206","pakaian","2025-06-03 00:00:00"
"PRD01505","Piyama Anak",59000,"91","pakaian","2025-08-25 04:20:00"
"PRD01272","Baju Anak Perempuan",0,"129","pakaian","2024-06-23 00:00:00"
"PRD01231","Kemeja Sekolah",329000,"173","pakaian","2024-09-15 00:00:00"
"PRD01588","Sarung Tangan Bayi",299000,"289","pakaian","2023-10-06 13:59:00"
"PRD01547","Topi Sekolah",0,"137","pakaian","2023-06-22 00:00:00"
"PRD01506","Kemeja Sekolah",0,"33","pakaian","2024-05-01 00:00:00"
"PRD01273","Sarung Tangan Bayi",0,"97","pakaian","2025-07-16 00:00:00"
"PRD01232","Topi Sekolah",67000,"94","pakaian","2023-09-04 21:28:00"
"PRD01589","Jaket Hoodie",311000,"197","pakaian","2023-04-28 00:00:00"
"PRD01548","Sweater Rajut",0,"82","pakaian","2025-11-13 20:40:00"
"PRD01507","Baju Anak Perempuan",330000,"219","pakaian","2023-10-22 07:40:00"
"PRD01274","Sarung Tangan Bayi",0,"95","pakaian","2025-04-25 06:02:00"
"PRD01233","Celana Jeans Pria",77000,"277","pakaian","2025-09-05 15:59:00"
"PRD01549","Dress Pesta",0,"5","pakaian","2023-09-28 00:00:00"
"PRD01508","Celana Jeans Pria",214000,"72","pakaian","2025-04-23 15:27:00"
"PRD01275","Rok Anak",0,"193","pakaian","2023-01-07 12:50:00"
"PRD01234","Rok Anak",61000,"225","pakaian","2025-09-14 00:00:00"
"PRD01509","Topi Sekolah",0,"115","pakaian","2024-12-06 10:51:00"
"PRD01276","Topi Sekolah",164000,"207","pakaian","2025-03-02 02:36:00"
"PRD01235","Piyama Anak",222000,"264","pakaian","2024-06-26 00:00:00"
"PRD01277","Sepatu Casual",371000,"154","pakaian","2023-11-14 00:00:00"
"PRD01236","Sarung Tangan Bayi",231000,"","pakaian","2025-12-11 00:00:00"
"PRD01278","Sarung Tangan Bayi",491000,"169","pakaian","2025-05-31 15:46:00"
"PRD01237","Sweater Rajut",215000,"220","pakaian","2026-03-26 00:00:00"
"PRD01279","Topi Sekolah",0,"191","pakaian","2023-06-12 00:00:00"
"PRD01238","Rok Anak",27000,"220","pakaian","2025-09-18 00:00:00"
"PRD01239","Kemeja Sekolah",309000,"169","pakaian","2025-01-13 13:01:00"
"PRD00970","Jaket Hoodie",268000,"","pakaian","2024-04-18 16:57:00"
"PRD00971","Baju Bayi",104000,"27","pakaian","2025-01-20 00:00:00"
"PRD00930","Blouse Wanita",203040,"156","pakaian","2023-03-20 00:00:00"
"PRD00972","Baju Anak Laki-laki",0,"131","pakaian","2025-01-05 18:21:00"
"PRD00931","Baju Anak Laki-laki",344000,"194","pakaian","2023-12-25 00:00:00"
"PRD00973","Sepatu Casual",151040,"29","pakaian","2024-10-12 00:00:00"
"PRD00932","Sepatu Casual",203000,"259","pakaian","2024-11-08 00:00:00"
"PRD00974","Blouse Wanita",0,"8","pakaian","2023-01-06 00:00:00"
"PRD00933","Dress Pesta",111000,"49","pakaian","2023-05-22 15:26:00"
"PRD00975","Sweater Rajut",0,"299","pakaian","2024-01-27 00:00:00"
"PRD00934","Baju Bayi",318000,"298","pakaian","2024-10-25 00:40:00"
"PRD00660","Sepatu Casual",0,"143","pakaian","2025-08-24 17:37:00"
"PRD00620","Kaos Olahraga",171000,"185","pakaian","2025-07-04 00:00:00"
"PRD00976","Kemeja Sekolah",33000,"244","pakaian","2026-04-13 08:51:00"
"PRD00935","Blouse Wanita",143040,"297","pakaian","2025-03-17 00:00:00"
"PRD00661","Celana Jeans Pria",0,"19","pakaian","2023-05-10 09:40:00"
"PRD00621","Jaket Hoodie",0,"291","pakaian","2025-11-12 12:59:00"
"PRD00977","Baju Anak Laki-laki",398000,"92","pakaian","2024-03-06 04:42:00"
"PRD00936","Jaket Hoodie",389000,"176","pakaian","2025-04-24 00:00:00"
"PRD00662","Dress Pesta",175000,"274","pakaian","2024-12-04 13:46:00"
"PRD00622","Kemeja Sekolah",372000,"21","pakaian","2025-09-22 00:00:00"
"PRD00978","Sweater Rajut",0,"86","pakaian","2024-03-17 00:00:00"
"PRD00937","Dress Pesta",36000,"169","pakaian","2023-05-09 18:02:00"
"PRD00663","Baju Anak Laki-laki",0,"292","pakaian","2025-12-17 09:18:00"
"PRD00390","Jaket Hoodie",71000,"218","pakaian","2023-01-13 00:00:00"
"PRD00623","Blouse Wanita",216000,"182","pakaian","2023-01-30 00:00:00"
"PRD00979","Jaket Hoodie",150000,"280","pakaian","2023-02-07 00:00:00"
"PRD00938","Blouse Wanita",143000,"227","pakaian","2024-11-05 20:52:00"
"PRD00664","Piyama Anak",440000,"164","pakaian","2023-02-02 00:00:00"
"PRD00391","Baju Anak Perempuan",408000,"268","pakaian","2023-08-02 00:00:00"
"PRD00624","Topi Sekolah",151000,"183","pakaian","2023-01-09 08:05:00"
"PRD00350","Baju Anak Laki-laki",159000,"196","pakaian","2025-12-31 00:00:00"
"PRD00939","Jaket Hoodie",220000,"144","pakaian","2023-07-29 00:00:00"
"PRD00665","Baju Anak Perempuan",132000,"209","pakaian","2025-08-18 00:00:00"
"PRD00392","Kemeja Sekolah",0,"209","pakaian","2025-02-03 19:17:00"
"PRD00625","Rok Anak",300000,"144","pakaian","2023-06-19 00:00:00"
"PRD00351","Sweater Rajut",460000,"13","pakaian","2025-06-20 00:00:00"
"PRD00310","Baju Anak Perempuan",216000,"28","pakaian","2025-04-19 00:00:00"
"PRD00666","Celana Jeans Pria",118000,"296","pakaian","2024-11-30 00:00:00"
"PRD00393","Kaos Olahraga",81000,"213","pakaian","2026-02-21 18:41:00"
"PRD00626","Topi Sekolah",126000,"98","pakaian","2026-04-08 00:00:00"
"PRD00352","Sarung Tangan Bayi",143000,"157","pakaian","2023-03-24 00:00:00"
"PRD00311","Rok Anak",381000,"178","pakaian","2025-04-26 00:00:00"
"PRD00667","Baju Anak Perempuan",213000,"293","pakaian","2026-04-17 16:10:00"
"PRD00394","Blouse Wanita",130000,"56","pakaian","2023-12-28 20:29:00"
"PRD00627","Jaket Hoodie",260000,"","pakaian","2025-06-11 00:00:00"
"PRD00353","Kaos Olahraga",372000,"283","pakaian","2023-12-22 00:00:00"
"PRD00312","Blouse Wanita",0,"151","pakaian","2025-05-30 14:10:00"
"PRD00668","Kemeja Sekolah",0,"209","pakaian","2024-04-11 00:00:00"
"PRD00395","Celana Jeans Pria",347000,"214","pakaian","2025-05-25 14:10:00"
"PRD00628","Jaket Hoodie",146000,"235","pakaian","2023-10-18 23:45:00"
"PRD00354","Blouse Wanita",259040,"219","pakaian","2023-05-19 00:00:00"
"PRD00080","Kemeja Sekolah",40000,"23","pakaian","2024-06-07 08:44:00"
"PRD00313","Blouse Wanita",0,"99","pakaian","2024-11-25 23:03:00"
"PRD00669","Baju Bayi",246080,"110","pakaian","2023-05-07 00:00:00"
"PRD00396","Baju Anak Perempuan",427000,"146","pakaian","2024-05-07 00:00:00"
"PRD00629","Jaket Hoodie",0,"3","pakaian","2025-11-08 00:00:00"
"PRD00355","Baju Anak Perempuan",365000,"192","pakaian","2025-06-01 06:47:00"
"PRD00081","Topi Sekolah",0,"285","pakaian","2026-04-01 00:00:00"
"PRD00314","Piyama Anak",212000,"212","pakaian","2023-05-24 00:00:00"
"PRD00040","Rok Anak",166000,"74","pakaian","2023-11-16 18:06:00"
"PRD00356","Kaos Olahraga",196000,"120","pakaian","2025-03-08 10:42:00"
"PRD00082","Sweater Rajut",239000,"69","pakaian","2025-05-01 13:50:00"
"PRD00315","Sarung Tangan Bayi",0,"109","pakaian","2024-04-05 14:52:00"
"PRD00041","Baju Anak Perempuan",121000,"275","pakaian","2023-05-06 00:00:00"
"PRD00397","Piyama Anak",483040,"","pakaian","2023-03-16 14:01:00"
"PRD00357","Celana Jeans Pria",60000,"149","pakaian","2025-06-14 00:00:00"
"PRD00083","Celana Jeans Pria",303000,"192","pakaian","2025-02-27 00:00:00"
"PRD00316","Piyama Anak",200000,"184","pakaian","2026-01-23 00:00:00"
"PRD00042","Sepatu Casual",256000,"214","pakaian","2024-12-14 02:12:00"
"PRD00001","Kaos Olahraga",58080,"231","pakaian","2024-09-29 00:00:00"
"PRD00398","Jaket Hoodie",184000,"263","pakaian","2023-05-16 00:00:00"
"PRD00358","Kaos Olahraga",0,"148","pakaian","2026-04-10 00:00:00"
"PRD00084","Rok Anak",490000,"90","pakaian","2024-10-06 17:25:00"
"PRD00317","Baju Anak Perempuan",406000,"15","pakaian","2023-05-04 00:00:00"
"PRD00043","Kaos Olahraga",292000,"6","pakaian","2025-08-20 05:44:00"
"PRD00002","Kaos Olahraga",45000,"","pakaian","2025-02-17 00:00:00"
"PRD00399","Sarung Tangan Bayi",0,"224","pakaian","2025-10-31 13:47:00"
"PRD00359","Rok Anak",261000,"204","pakaian","2024-04-03 14:55:00"
"PRD00085","Sweater Rajut",190000,"225","pakaian","2025-06-27 00:00:00"
"PRD00318","Jaket Hoodie",0,"263","pakaian","2025-10-23 07:05:00"
"PRD00044","Sarung Tangan Bayi",39000,"28","pakaian","2024-03-18 00:00:00"
"PRD00003","Sweater Rajut",480,"291","pakaian","2025-10-01 07:49:00"
"PRD00086","Kaos Olahraga",113000,"102","pakaian","2025-12-29 00:00:00"
"PRD00319","Jaket Hoodie",0,"234","pakaian","2023-10-27 19:35:00"
"PRD00045","Blouse Wanita",0,"254","pakaian","2023-11-08 00:00:00"
"PRD00004","Sarung Tangan Bayi",75000,"163","pakaian","2025-12-04 12:46:00"
"PRD00087","Blouse Wanita",362000,"269","pakaian","2025-10-22 00:00:00"
"PRD00046","Blouse Wanita",0,"106","pakaian","2025-11-19 00:00:00"
"PRD00005","Blouse Wanita",459000,"16","pakaian","2026-01-27 06:44:00"
"PRD00088","Rok Anak",0,"83","pakaian","2026-03-31 22:35:00"
"PRD00047","Dress Pesta",0,"203","pakaian","2025-11-12 10:52:00"
"PRD00006","Sarung Tangan Bayi",99040,"","pakaian","2024-12-19 16:24:00"
"PRD00089","Sepatu Casual",0,"1","pakaian","2024-10-04 09:52:00"
"PRD00048","Sweater Rajut",0,"11","pakaian","2025-06-19 05:38:00"
"PRD00007","Dress Pesta",44000,"210","pakaian","2024-11-27 15:23:00"
"PRD00049","Baju Bayi",490000,"","pakaian","2026-02-23 19:04:00"
"PRD00008","Kemeja Sekolah",209000,"118","pakaian","2024-07-18 00:00:00"
"PRD00009","Topi Sekolah",0,"94","pakaian","2024-07-30 20:09:00"
"PRD01660","Sweater Rajut",0,"116","pakaian","2025-06-05 20:58:00"
"PRD01661","Kemeja Sekolah",0,"230","pakaian","2025-03-17 00:00:00"
"PRD01620","Dress Pesta",55040,"160","pakaian","2025-02-17 00:00:00"
"PRD01662","Kemeja Sekolah",256000,"83","pakaian","2023-12-28 00:00:00"
"PRD01621","Sarung Tangan Bayi",0,"264","pakaian","2023-01-26 10:01:00"
"PRD01663","Rok Anak",283000,"197","pakaian","2025-02-08 19:09:00"
"PRD01622","Kemeja Sekolah",0,"71","pakaian","2025-07-06 00:00:00"
"PRD01664","Sarung Tangan Bayi",168000,"111","pakaian","2025-06-11 00:00:00"
"PRD01623","Blouse Wanita",37000,"6","pakaian","2024-02-19 00:00:00"
"PRD01390","Baju Bayi",491040,"84","pakaian","2024-07-06 12:12:00"
"PRD01665","Kaos Olahraga",0,"280","pakaian","2023-05-14 00:00:00"
"PRD01624","Blouse Wanita",124000,"168","pakaian","2024-02-14 16:20:00"
"PRD01391","Sarung Tangan Bayi",100000,"60","pakaian","2025-07-22 00:00:00"
"PRD01350","Kaos Olahraga",59000,"18","pakaian","2025-12-27 03:41:00"
"PRD01666","Blouse Wanita",320960,"254","pakaian","2025-07-14 00:00:00"
"PRD01625","Topi Sekolah",0,"134","pakaian","2025-04-07 05:13:00"
"PRD01392","Kaos Olahraga",496000,"291","pakaian","2025-02-06 19:54:00"
"PRD01351","Kemeja Sekolah",0,"","pakaian","2024-04-14 01:31:00"
"PRD01310","Dress Pesta",0,"163","pakaian","2023-05-31 08:47:00"
"PRD01667","Sweater Rajut",484000,"139","pakaian","2024-03-07 15:01:00"
"PRD01626","Blouse Wanita",0,"155","pakaian","2025-08-15 01:26:00"
"PRD01393","Jaket Hoodie",60,"190","pakaian","2025-06-30 08:04:00"
"PRD01352","Baju Bayi",239000,"298","pakaian","2023-03-28 15:43:00"
"PRD01311","Sweater Rajut",38000,"113","pakaian","2024-03-05 11:05:00"
"PRD01668","Sweater Rajut",0,"","pakaian","2026-02-21 20:30:00"
"PRD01627","Piyama Anak",400,"123","pakaian","2024-08-06 00:00:00"
"PRD01394","Rok Anak",343000,"286","pakaian","2023-03-11 19:33:00"
"PRD01353","Kaos Olahraga",230,"198","pakaian","2023-09-16 06:47:00"
"PRD01312","Baju Anak Laki-laki",59000,"198","pakaian","2024-10-05 21:02:00"
"PRD01669","Blouse Wanita",155040,"248","pakaian","2024-12-19 05:19:00"
"PRD01628","Baju Anak Laki-laki",376000,"17","pakaian","2024-02-26 04:26:00"
"PRD01395","Sweater Rajut",435000,"191","pakaian","2023-02-26 11:35:00"
"PRD01354","Sweater Rajut",0,"66","pakaian","2026-01-04 01:14:00"
"PRD01080","Baju Bayi",392000,"173","pakaian","2024-11-10 15:23:00"
"PRD01313","Kaos Olahraga",56960,"","pakaian","2025-07-30 00:00:00"
"PRD01629","Sepatu Casual",0,"17","pakaian","2025-12-25 07:14:00"
"PRD01396","Piyama Anak",0,"178","pakaian","2026-03-06 15:00:00"
"PRD01355","Blouse Wanita",0,"266","pakaian","2025-11-19 03:44:00"
"PRD01081","Sepatu Casual",0,"59","pakaian","2025-12-04 10:36:00"
"PRD01314","Kemeja Sekolah",312000,"172","pakaian","2026-04-05 00:00:00"
"PRD01040","Baju Bayi",339000,"299","pakaian","2023-08-24 15:55:00"
"PRD01397","Jaket Hoodie",278080,"62","pakaian","2025-03-11 00:00:00"
"PRD01356","Jaket Hoodie",0,"30","pakaian","2024-05-08 14:06:00"
"PRD01082","Celana Jeans Pria",343000,"132","pakaian","2024-05-27 00:00:00"
"PRD01315","Blouse Wanita",418000,"35","pakaian","2025-04-11 09:57:00"
"PRD01041","Baju Bayi",70000,"227","pakaian","2024-08-07 00:00:00"
"PRD01000","Piyama Anak",446000,"234","pakaian","2026-03-31 00:00:00"
"PRD01398","Baju Anak Perempuan",0,"90","pakaian","2023-10-20 00:00:00"
"PRD01357","Kemeja Sekolah",165000,"125","pakaian","2024-08-11 21:43:00"
"PRD01083","Piyama Anak",0,"39","pakaian","2023-09-29 08:53:00"
"PRD01316","Sweater Rajut",306000,"209","pakaian","2023-08-26 10:29:00"
"PRD01042","Piyama Anak",77000,"232","pakaian","2023-07-16 23:48:00"
"PRD01001","Rok Anak",83000,"248","pakaian","2025-02-08 00:00:00"
"PRD01399","Sweater Rajut",0,"248","pakaian","2024-03-21 00:00:00"
"PRD01358","Celana Jeans Pria",0,"187","pakaian","2023-05-27 00:00:00"
"PRD01084","Topi Sekolah",279000,"234","pakaian","2023-11-23 00:00:00"
"PRD01317","Sepatu Casual",153000,"158","pakaian","2024-02-28 11:03:00"
"PRD01043","Baju Bayi",111000,"50","pakaian","2023-03-15 16:06:00"
"PRD01002","Sepatu Casual",452000,"13","pakaian","2023-12-21 15:54:00"
"PRD01359","Sweater Rajut",0,"61","pakaian","2023-09-13 00:00:00"
"PRD01085","Jaket Hoodie",120,"123","pakaian","2023-08-16 12:40:00"
"PRD01318","Celana Jeans Pria",0,"224","pakaian","2024-04-08 15:57:00"
"PRD01044","Piyama Anak",297000,"200","pakaian","2026-03-09 16:26:00"
"PRD01003","Baju Anak Laki-laki",325000,"24","pakaian","2025-08-19 00:00:00"
"PRD01086","Rok Anak",171000,"238","pakaian","2024-12-11 00:00:00"
"PRD01319","Rok Anak",136000,"128","pakaian","2026-04-18 00:00:00"
"PRD01045","Sarung Tangan Bayi",151000,"54","pakaian","2024-02-10 22:35:00"
"PRD01004","Blouse Wanita",244000,"95","pakaian","2025-08-10 00:00:00"
"PRD01087","Rok Anak",419000,"24","pakaian","2025-08-03 16:11:00"
"PRD01046","Kemeja Sekolah",0,"257","pakaian","2024-09-29 00:00:00"
"PRD01005","Dress Pesta",110000,"219","pakaian","2023-11-18 01:44:00"
"PRD01088","Baju Anak Laki-laki",230080,"","pakaian","2024-01-31 21:12:00"
"PRD01047","Sepatu Casual",398080,"162","pakaian","2025-11-25 11:41:00"
"PRD01006","Baju Anak Perempuan",428000,"58","pakaian","2025-06-09 00:00:00"
"PRD01089","Sepatu Casual",0,"169","pakaian","2023-07-23 18:21:00"
"PRD01048","Celana Jeans Pria",0,"84","pakaian","2025-06-28 00:00:00"
"PRD01007","Kaos Olahraga",0,"24","pakaian","2023-07-09 10:22:00"
"PRD01049","Piyama Anak",490,"196","pakaian","2023-04-12 00:00:00"
"PRD01008","Baju Anak Laki-laki",83000,"18","pakaian","2023-06-13 00:00:00"
"PRD01009","Blouse Wanita",0,"180","pakaian","2025-06-17 03:50:00"
"PRD00780","Baju Anak Laki-laki",161000,"177","pakaian","2025-06-25 00:00:00"
"PRD00781","Baju Bayi",42000,"211","pakaian","2025-07-25 02:34:00"
"PRD00740","Topi Sekolah",0,"179","pakaian","2025-04-24 22:42:00"
"PRD00782","Topi Sekolah",170000,"183","pakaian","2024-02-16 00:00:00"
"PRD00741","Sweater Rajut",474000,"33","pakaian","2023-11-05 15:52:00"
"PRD00700","Blouse Wanita",0,"8","pakaian","2025-09-19 00:00:00"
"PRD00783","Blouse Wanita",466080,"269","pakaian","2025-11-29 16:59:00"
"PRD00742","Kemeja Sekolah",26000,"142","pakaian","2025-04-12 00:00:00"
"PRD00701","Baju Bayi",0,"41","pakaian","2024-01-10 00:00:00"
"PRD00784","Piyama Anak",498000,"151","pakaian","2025-02-20 00:00:00"
"PRD00743","Baju Bayi",160000,"91","pakaian","2024-11-18 11:58:00"
"PRD00702","Sepatu Casual",203000,"87","pakaian","2023-02-14 03:36:00"
"PRD00785","Kemeja Sekolah",0,"88","pakaian","2023-07-10 20:25:00"
"PRD00744","Celana Jeans Pria",102000,"105","pakaian","2024-11-15 15:42:00"
"PRD00470","Dress Pesta",193000,"","pakaian","2024-04-19 18:48:00"
"PRD00703","Piyama Anak",364000,"260","pakaian","2025-01-01 00:26:00"
"PRD00786","Jaket Hoodie",367040,"155","pakaian","2024-07-17 00:00:00"
